KeyOrValue,Hex,Type,FilePaths
Key,0x23a0c3730e,int,/assist/driver/param/param.prc
Key,0x17f8fa8b9f,float,/assist/driver/param/param.prc
Key,0x1563f1d34e,float,/assist/eleka/param/param.prc
Key,0x155ffcec17,float,/assist/eleka/param/param.prc
Key,0x141735c5e0,float,/assist/eleka/param/param.prc
Key,0x142b38fab9,float,/assist/eleka/param/param.prc
Key,0x1e13817210,float,/assist/eleka/param/param.prc
Key,0x18011b5b33,int,/assist/eleka/param/param.prc
Key,0x1fae9a6c2c,float,/assist/eleka/param/param.prc
Key,0x1957b8d14b,float,/assist/eleka/param/param.prc
Key,0x1bfb8ffdb8,float,/assist/flyandhand/param/param.prc
Key,0x1ee120d70c,int,/assist/flyandhand/param/param.prc
Key,0x199c0e4cf0,int,/assist/flyandhand/param/param.prc
Key,0x26e90380c2,float,/assist/flyandhand/param/param.prc
Key,0x2812e94a3d,int,/assist/flyandhand/param/param.prc
Key,0x2784fabf0b,float,/assist/flyandhand/param/param.prc
Key,0x27b8f78052,float,/assist/flyandhand/param/param.prc
Key,0x1f9449af1e,float,/assist/flyandhand/param/param.prc
Key,0x28eb568add,float,/assist/flyandhand/param/param.prc
Key,0x17d04d591f,float,/assist/flyandhand/param/param.prc | /assist/kozukatasight/param/param.prc
Key,0x17ec406646,float,/assist/flyandhand/param/param.prc | /assist/kozukatasight/param/param.prc
Key,0x13f711f591,float,/assist/flyandhand/param/param.prc
Key,0x13cb1ccac8,float,/assist/flyandhand/param/param.prc
Key,0x1d41465cb2,float,/assist/ghirahimknife2/param/param.prc
Key,0x23be3a45dd,int,/assist/guile/param/param.prc
Key,0x1cfaecfca4,float,/assist/guile/param/param.prc
Key,0x261a33f686,float,/assist/guile/param/param.prc
Key,0x279ced4439,float,/assist/guile/param/param.prc
Key,0x25cdb4254b,float,/assist/guile/param/param.prc
Key,0x2ce3c222ea,float,/assist/guile/param/param.prc
Key,0x2dbe1866a7,float,/assist/guile/param/param.prc
Key,0x2bd7b00c3c,float,/assist/guile/param/param.prc
Key,0x2ab5627e58,int,/assist/guile/param/param.prc
Key,0x20942397e0,float,/assist/guile/param/param.prc
Key,0x28ec5d6914,float,/assist/guile/param/param.prc
Key,0x2c60ba50d9,int,/assist/guile/param/param.prc
Key,0x2262337bdc,float,/assist/guile/param/param.prc
Key,0x28a2a165cf,float,/assist/guile/param/param.prc
Key,0x27af07803d,float,/assist/guile/param/param.prc
Key,0x31d1896a10,int,/assist/guile/param/param.prc
Key,0x303a5c5f83,int,/assist/guile/param/param.prc
Key,0x3371eca0f9,float,/assist/guile/param/param.prc
Key,0x1958b5e917,float,/assist/guile/param/param.prc
Key,0x192fb2d981,float,/assist/guile/param/param.prc
Key,0x2613b1c11b,int,/assist/guile/param/param.prc
Key,0x286c7d74ee,int,/assist/guile/param/param.prc
Key,0x22b8110ed3,int,/assist/hebigarasu/param/param.prc
Key,0x1dd1b2ea0b,float,/assist/hebigarasu/param/param.prc
Key,0x149d9cfbea,float,/assist/jeff/param/param.prc
Key,0x1c1eea3b33,float,/assist/jeff/param/param.prc
Key,0x204cf3d4a8,float,/assist/jiro/param/param.prc
Key,0x2070feebf1,float,/assist/jiro/param/param.prc
Key,0x12e2a495b6,float,/assist/jiro/param/param.prc
Key,0x19972b68bf,float,/assist/jiro/param/param.prc
Key,0x1b39c1c7e9,float,/assist/jiro/param/param.prc
Key,0x28c2ba1317,float,/assist/jiro/param/param.prc
Key,0x24617a5b32,float,/assist/jiro/param/param.prc
Key,0x21585adf87,float,/assist/jiro/param/param.prc
Key,0x2b607b135e,float,/assist/jiro/param/param.prc
Key,0x17ec69968c,float,/assist/jiro/param/param.prc
Key,0x17940faec7,float,/assist/jiro/param/param.prc
Key,0x1ed8a02e2d,float,/assist/jiro/param/param.prc
Key,0x1acf563ba3,float,/assist/jiro/param/param.prc
Key,0x165479d36f,float,/assist/jiro/param/param.prc
Key,0x0f4220832c,float,/assist/jiro/param/param.prc
Key,0x14fd499e75,float,/assist/jiro/param/param.prc
Key,0x245dfe46c7,float,/assist/kawasaki/param/param.prc
Key,0x1df53cd026,float,/assist/kawashima/param/param.prc
Key,0x1e37c7222a,float,/assist/kawashima/param/param.prc
Key,0x1e5ccbddd9,float,/assist/kawashimashot/param/param.prc
Key,0x1e2bcced4f,float,/assist/kawashimashot/param/param.prc
Key,0x33c472b5d7,float,/assist/knuckles/param/param.prc
Key,0x34517d1c95,int,/assist/knuckles/param/param.prc
Key,0x346d7023cc,int,/assist/knuckles/param/param.prc
Key,0x32749058c9,int,/assist/knuckles/param/param.prc
Key,0x2c6fbd7b80,float,/assist/knuckles/param/param.prc
Key,0x30dd7d0ed2,int,/assist/knuckles/param/param.prc
Key,0x2ff202378d,int,/assist/knuckles/param/param.prc
Key,0x234eed976e,float,/assist/kozukatasight/param/param.prc
Key,0x2339eaa7f8,float,/assist/kozukatasight/param/param.prc
Key,0x19779d488f,float,/assist/kozukatasight/param/param.prc
Key,0x194b9077d6,float,/assist/kozukatasight/param/param.prc
Key,0x2b5d65c13f,float,/assist/krystal/param/param.prc
Key,0x2b80f318ba,float,/assist/krystal/param/param.prc
Key,0x2ee99d7611,int,/assist/krystal/param/param.prc
Key,0x2aeb68b1dd,int,/assist/krystal/param/param.prc
Key,0x383730584b,float,/assist/krystal/param/param.prc
Key,0x38ac43b29f,float,/assist/krystal/param/param.prc
Key,0x1f95189e36,float,/assist/krystalshot/param/param.prc
Key,0x2b4a5a659e,float,/assist/lioleus/param/param.prc
Key,0x21c9a8cb3b,int,/assist/lioleus/param/param.prc
Key,0x20204a9176,float,/assist/lioleus/param/param.prc
Key,0x16326f20c7,float,/assist/lioleus/param/param.prc
Key,0x224bafbbde,float,/assist/lioleus/param/param.prc | /boss/lioleusboss/param/param.prc
Key,0x22b64bf018,float,/assist/lioleus/param/param.prc | /boss/lioleusboss/param/param.prc
Key,0x1240aeb13e,int,/assist/lioleus/param/param.prc | /boss/lioleusboss/param/param.prc
Key,0x12d9a7e084,int,/assist/lioleus/param/param.prc | /boss/lioleusboss/param/param.prc
Key,0x12aea0d012,int,/assist/lioleus/param/param.prc | /boss/lioleusboss/param/param.prc
Key,0x175eff1ff8,int,/assist/lioleus/param/param.prc | /boss/lioleusboss/param/param.prc
Key,0x13b58d5a44,float,/assist/metroid/param/param.prc
Key,0x179066fe7a,float,/assist/metroid/param/param.prc
